timestamp,steps
2022-11-01 23:59:59.000000,13115
2022-11-02 23:59:59.000000,6679
2022-11-03 23:59:59.000000,1758
2022-11-04 23:59:59.000000,9457
2022-11-05 23:59:59.000000,10652
2022-11-06 23:59:59.000000,8558
2022-11-07 23:59:59.000000,3786
2022-11-08 23:59:59.000000,4419
2022-11-09 23:59:59.000000,3075
2022-11-10 23:59:59.000000,10397
2022-11-11 23:59:59.000000,7542
2022-11-12 23:59:59.000000,7509
2022-11-13 23:59:59.000000,6428
2022-11-14 23:59:59.000000,4118
2022-11-15 23:59:59.000000,3662
2022-11-16 23:59:59.000000,4022
2022-11-17 23:59:59.000000,5791
2022-11-18 23:59:59.000000,7484
2022-11-19 23:59:59.000000,8200
2022-11-20 23:59:59.000000,11364
2022-11-21 23:59:59.000000,3882
2022-11-22 23:59:59.000000,4654
2022-11-23 23:59:59.000000,5595
2022-11-24 23:59:59.000000,12882
2022-11-25 23:59:59.000000,6321
2022-11-26 23:59:59.000000,11975
2022-11-27 23:59:59.000000,9428
2022-11-28 23:59:59.000000,3876
2022-11-29 23:59:59.000000,2651
2022-11-30 23:59:59.000000,6428
