time_stamp,avg_hr
Sat Nov 04 2023 14:59:00 GMT+0100 (Central European Standard Time),94
Sat Nov 04 2023 15:59:00 GMT+0100 (Central European Standard Time),83
Sat Nov 04 2023 16:59:00 GMT+0100 (Central European Standard Time),70
Sat Nov 04 2023 17:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 04 2023 18:58:00 GMT+0100 (Central European Standard Time),71
Sat Nov 04 2023 19:59:00 GMT+0100 (Central European Standard Time),84
Sat Nov 04 2023 20:59:00 GMT+0100 (Central European Standard Time),89
Sat Nov 04 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Sat Nov 04 2023 22:59:00 GMT+0100 (Central European Standard Time),72
Sat Nov 04 2023 23:58:00 GMT+0100 (Central European Standard Time),64
Sun Nov 05 2023 00:53:00 GMT+0100 (Central European Standard Time),61
Sun Nov 05 2023 01:58:00 GMT+0100 (Central European Standard Time),61
Sun Nov 05 2023 02:59:00 GMT+0100 (Central European Standard Time),64
Sun Nov 05 2023 03:59:00 GMT+0100 (Central European Standard Time),65
Sun Nov 05 2023 04:59:00 GMT+0100 (Central European Standard Time),66
Sun Nov 05 2023 05:56:00 GMT+0100 (Central European Standard Time),62
Sun Nov 05 2023 06:59:00 GMT+0100 (Central European Standard Time),65
Sun Nov 05 2023 07:58:00 GMT+0100 (Central European Standard Time),59
Sun Nov 05 2023 08:59:00 GMT+0100 (Central European Standard Time),58
Sun Nov 05 2023 09:59:00 GMT+0100 (Central European Standard Time),69
Sun Nov 05 2023 10:59:00 GMT+0100 (Central European Standard Time),73
Sun Nov 05 2023 11:59:00 GMT+0100 (Central European Standard Time),73
Sun Nov 05 2023 12:59:00 GMT+0100 (Central European Standard Time),74
Sun Nov 05 2023 13:59:00 GMT+0100 (Central European Standard Time),89
Sun Nov 05 2023 14:59:00 GMT+0100 (Central European Standard Time),94
Sun Nov 05 2023 15:59:00 GMT+0100 (Central European Standard Time),99
Sun Nov 05 2023 16:59:00 GMT+0100 (Central European Standard Time),91
Sun Nov 05 2023 17:59:00 GMT+0100 (Central European Standard Time),94
Sun Nov 05 2023 18:59:00 GMT+0100 (Central European Standard Time),81
Sun Nov 05 2023 19:59:00 GMT+0100 (Central European Standard Time),83
Sun Nov 05 2023 20:59:00 GMT+0100 (Central European Standard Time),76
Sun Nov 05 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Sun Nov 05 2023 22:48:00 GMT+0100 (Central European Standard Time),68
Sun Nov 05 2023 23:59:00 GMT+0100 (Central European Standard Time),61
Mon Nov 06 2023 00:58:00 GMT+0100 (Central European Standard Time),61
Mon Nov 06 2023 01:58:00 GMT+0100 (Central European Standard Time),62
Mon Nov 06 2023 02:55:00 GMT+0100 (Central European Standard Time),62
Mon Nov 06 2023 03:58:00 GMT+0100 (Central European Standard Time),66
Mon Nov 06 2023 04:59:00 GMT+0100 (Central European Standard Time),63
Mon Nov 06 2023 05:59:00 GMT+0100 (Central European Standard Time),67
Mon Nov 06 2023 06:59:00 GMT+0100 (Central European Standard Time),74
Mon Nov 06 2023 07:58:00 GMT+0100 (Central European Standard Time),66
Mon Nov 06 2023 08:59:00 GMT+0100 (Central European Standard Time),68
Mon Nov 06 2023 09:59:00 GMT+0100 (Central European Standard Time),94
Mon Nov 06 2023 10:59:00 GMT+0100 (Central European Standard Time),120
Mon Nov 06 2023 11:58:00 GMT+0100 (Central European Standard Time),97
Mon Nov 06 2023 12:59:00 GMT+0100 (Central European Standard Time),100
Mon Nov 06 2023 13:59:00 GMT+0100 (Central European Standard Time),113
Mon Nov 06 2023 14:59:00 GMT+0100 (Central European Standard Time),112
Mon Nov 06 2023 15:59:00 GMT+0100 (Central European Standard Time),103
Mon Nov 06 2023 16:59:00 GMT+0100 (Central European Standard Time),95
Mon Nov 06 2023 17:57:00 GMT+0100 (Central European Standard Time),87
Mon Nov 06 2023 18:59:00 GMT+0100 (Central European Standard Time),78
Mon Nov 06 2023 19:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 06 2023 20:59:00 GMT+0100 (Central European Standard Time),80
Mon Nov 06 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 06 2023 22:59:00 GMT+0100 (Central European Standard Time),75
Mon Nov 06 2023 23:59:59 GMT+0100 (Central European Standard Time),63
Tue Nov 07 2023 00:59:00 GMT+0100 (Central European Standard Time),62
Tue Nov 07 2023 01:59:00 GMT+0100 (Central European Standard Time),61
Tue Nov 07 2023 02:59:00 GMT+0100 (Central European Standard Time),61
Tue Nov 07 2023 03:59:00 GMT+0100 (Central European Standard Time),65
Tue Nov 07 2023 04:56:00 GMT+0100 (Central European Standard Time),63
Tue Nov 07 2023 05:59:00 GMT+0100 (Central European Standard Time),63
Tue Nov 07 2023 06:59:00 GMT+0100 (Central European Standard Time),63
Tue Nov 07 2023 07:58:00 GMT+0100 (Central European Standard Time),62
Tue Nov 07 2023 08:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 07 2023 09:59:00 GMT+0100 (Central European Standard Time),81
Tue Nov 07 2023 10:58:00 GMT+0100 (Central European Standard Time),82
Tue Nov 07 2023 11:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 07 2023 12:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 07 2023 13:59:00 GMT+0100 (Central European Standard Time),90
Tue Nov 07 2023 14:59:00 GMT+0100 (Central European Standard Time),81
Tue Nov 07 2023 15:59:00 GMT+0100 (Central European Standard Time),96
Tue Nov 07 2023 16:59:00 GMT+0100 (Central European Standard Time),93
Tue Nov 07 2023 17:59:00 GMT+0100 (Central European Standard Time),99
Tue Nov 07 2023 18:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 07 2023 19:59:00 GMT+0100 (Central European Standard Time),75
Tue Nov 07 2023 20:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 07 2023 21:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 07 2023 22:59:00 GMT+0100 (Central European Standard Time),96
Tue Nov 07 2023 23:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 08 2023 00:46:00 GMT+0100 (Central European Standard Time),60
Wed Nov 08 2023 01:59:00 GMT+0100 (Central European Standard Time),59
Wed Nov 08 2023 02:59:00 GMT+0100 (Central European Standard Time),61
Wed Nov 08 2023 03:59:00 GMT+0100 (Central European Standard Time),65
Wed Nov 08 2023 04:55:00 GMT+0100 (Central European Standard Time),67
Wed Nov 08 2023 05:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 08 2023 06:59:00 GMT+0100 (Central European Standard Time),67
Wed Nov 08 2023 07:58:00 GMT+0100 (Central European Standard Time),89
Wed Nov 08 2023 08:59:00 GMT+0100 (Central European Standard Time),96
Wed Nov 08 2023 09:59:00 GMT+0100 (Central European Standard Time),85
Wed Nov 08 2023 10:59:00 GMT+0100 (Central European Standard Time),82
Wed Nov 08 2023 11:59:00 GMT+0100 (Central European Standard Time),84
Wed Nov 08 2023 12:59:00 GMT+0100 (Central European Standard Time),84
Wed Nov 08 2023 13:59:00 GMT+0100 (Central European Standard Time),98
Wed Nov 08 2023 14:59:00 GMT+0100 (Central European Standard Time),104
Wed Nov 08 2023 15:59:00 GMT+0100 (Central European Standard Time),111
Wed Nov 08 2023 16:59:00 GMT+0100 (Central European Standard Time),98
Wed Nov 08 2023 17:59:00 GMT+0100 (Central European Standard Time),100
Wed Nov 08 2023 18:57:00 GMT+0100 (Central European Standard Time),87
Wed Nov 08 2023 19:58:00 GMT+0100 (Central European Standard Time),81
Wed Nov 08 2023 20:59:00 GMT+0100 (Central European Standard Time),78
Wed Nov 08 2023 21:58:00 GMT+0100 (Central European Standard Time),80
Wed Nov 08 2023 22:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 08 2023 23:59:59 GMT+0100 (Central European Standard Time),65
Thu Nov 09 2023 00:58:00 GMT+0100 (Central European Standard Time),64
Thu Nov 09 2023 01:59:00 GMT+0100 (Central European Standard Time),62
Thu Nov 09 2023 02:58:00 GMT+0100 (Central European Standard Time),66
Thu Nov 09 2023 03:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 09 2023 04:59:00 GMT+0100 (Central European Standard Time),67
Thu Nov 09 2023 05:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 09 2023 06:57:00 GMT+0100 (Central European Standard Time),65
Thu Nov 09 2023 07:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 09 2023 08:59:00 GMT+0100 (Central European Standard Time),74
Thu Nov 09 2023 09:57:00 GMT+0100 (Central European Standard Time),79
Thu Nov 09 2023 10:59:00 GMT+0100 (Central European Standard Time),91
Thu Nov 09 2023 11:59:00 GMT+0100 (Central European Standard Time),79
Thu Nov 09 2023 12:59:00 GMT+0100 (Central European Standard Time),82
Thu Nov 09 2023 13:59:00 GMT+0100 (Central European Standard Time),93
Thu Nov 09 2023 14:59:00 GMT+0100 (Central European Standard Time),83
Thu Nov 09 2023 15:59:00 GMT+0100 (Central European Standard Time),93
Thu Nov 09 2023 16:59:00 GMT+0100 (Central European Standard Time),83
Thu Nov 09 2023 17:58:00 GMT+0100 (Central European Standard Time),81
Thu Nov 09 2023 18:53:00 GMT+0100 (Central European Standard Time),84
Thu Nov 09 2023 19:59:00 GMT+0100 (Central European Standard Time),83
Thu Nov 09 2023 20:59:00 GMT+0100 (Central European Standard Time),86
Thu Nov 09 2023 21:59:00 GMT+0100 (Central European Standard Time),76
Thu Nov 09 2023 22:57:00 GMT+0100 (Central European Standard Time),79
Thu Nov 09 2023 23:58:00 GMT+0100 (Central European Standard Time),67
Fri Nov 10 2023 00:59:00 GMT+0100 (Central European Standard Time),63
Fri Nov 10 2023 01:59:00 GMT+0100 (Central European Standard Time),64
Fri Nov 10 2023 02:59:00 GMT+0100 (Central European Standard Time),65
Fri Nov 10 2023 03:58:00 GMT+0100 (Central European Standard Time),66
Fri Nov 10 2023 04:58:00 GMT+0100 (Central European Standard Time),68
Fri Nov 10 2023 05:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 10 2023 06:58:00 GMT+0100 (Central European Standard Time),65
Fri Nov 10 2023 07:58:00 GMT+0100 (Central European Standard Time),62
Fri Nov 10 2023 08:59:00 GMT+0100 (Central European Standard Time),64
Fri Nov 10 2023 09:59:00 GMT+0100 (Central European Standard Time),70
Fri Nov 10 2023 10:59:00 GMT+0100 (Central European Standard Time),92
Fri Nov 10 2023 11:59:00 GMT+0100 (Central European Standard Time),88
Fri Nov 10 2023 12:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 10 2023 13:58:00 GMT+0100 (Central European Standard Time),81
Fri Nov 10 2023 14:58:00 GMT+0100 (Central European Standard Time),81
Fri Nov 10 2023 15:58:00 GMT+0100 (Central European Standard Time),71
Fri Nov 10 2023 16:59:00 GMT+0100 (Central European Standard Time),73
Fri Nov 10 2023 17:59:00 GMT+0100 (Central European Standard Time),80
Fri Nov 10 2023 18:59:00 GMT+0100 (Central European Standard Time),77
Fri Nov 10 2023 19:59:00 GMT+0100 (Central European Standard Time),77
Fri Nov 10 2023 20:59:00 GMT+0100 (Central European Standard Time),86
Fri Nov 10 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Fri Nov 10 2023 22:51:00 GMT+0100 (Central European Standard Time),70
Fri Nov 10 2023 23:58:00 GMT+0100 (Central European Standard Time),57
